billerType,Abu Ghazaleh Intellectual Property,Moeller IP Advisors - USD,Saba & Co- Head Office,"Gorodissky & Partners, Ltd - Russia",Shinjyu Global IP Group,AFD China Intellectual Property Law Office,Cruz Marcelo & Tenefrancia - USD,Sojuzpatent,AMICA LAW LLC,AVA Firm - USD,Insperanto Ltd - EUR,"Ivanov, Makarov & Partners",Laghaee Management Company,Karawani & Co - USD,Abu Ghazaleh Intellectual Property - EUR,K & S Partners,Shearn Delamore & Co,KNOBBE MARTENS OLSON & BEAR LLP,Franke Hyland,Troncoso Leroux,Kilburn & Strode,Mewburn Ellis,Bereskin & Parr LLP - Toronto,ILS Arias Costa Rica,Saba & Co- Head Office - EUR,Unitalen Attorneys at Law (USD),"Bozicevic, Field & Francis LLP",Pellerano Messina - EUR,Patentia Oy,Shiga International Patent Office,CCPIT Patent and TradeMarks Law Office,DEHNS,SMART & BIGGAR IP,"Gorodissky & Partners, Ltd",MT4IP,All
All,65103,8720,7823,6128,1853,1682,1510,1387,1172,1129,1025,1021,921,818,792,776,760,733,727,715,702,677,677,667,611,595,587,575,573,541,539,528,524,522,12,113125
NNNNNNNNNN,39038,0,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39586
NNNNNNNNNNN,23257,0,0,0,0,0,0,0,0,0,0,0,2,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23463
NNNN-NNNNNNXX,0,0,0,3837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,4153
NNNNNNNNN,2580,0,0,0,0,689,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,3300
XXNNNNNXXNN-XXNXX (),0,2778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2778
XX/XNNNNN/NNNN/NN,0,0,1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,2023
NNNN-NNNNNN,0,0,0,1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,1657
XX XNNNNN NNNN NN,0,0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,1391
XNNNNNXXNN-XXNXX (),0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213
XXX-XXNNNNNNX,0,0,0,0,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212
XXNNNNXXNN-XXNXX (),0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916
XNNNNXXNN,0,0,0,0,0,0,0,2,0,0,0,0,0,64,0,0,0,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781
XXNNNNNXXNN-XXNXX,0,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754
XX/XNNNNN/NNNNN/NN,0,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,737
NNNNNNN,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,671
